namespace,schema_sha256,topic_uuid,topic_name,topic_options,question_uuid,question_label,question_text,question_type,question_hint_type,question_next_questions,alpha_distance,question_options,answer_count,answer_uuid,answer_label,answer_content,answer_next_questions,highlight,require_highlight,answer_options
Covid_Reasoning,9dfbf61fb64553748d371fac309ff63ef29f205810c24953012d827305f20dbf,e7c0b457-c285-4cde-b8d4-fc70741ecc76,Reasoning Specialist,"{""highlight"": true, ""version"": ""4"", ""hint_type"": """"}",171c2793-fde1-4c14-b100-ae1d563f4a08,T1.Q1,Does the passage contain... (check all that apply):,CHECKBOX,,,nominal,"{""version"": ""4"", ""alpha_distance"": ""nominal"", ""require_one_or_more"": true, ""hint_type"": """"}",6,6642213f-f85e-415a-aef3-eb64e59d4a9a,T1.Q1.A1,"Estimates of the likelihood/probability or frequency of an event (past, present, or future)",T1.Q2,0,1,"{""case_numbers"": false, ""highlight"": false, ""version"": ""4"", ""require_highlight"": true}"
Covid_Reasoning,9dfbf61fb64553748d371fac309ff63ef29f205810c24953012d827305f20dbf,e7c0b457-c285-4cde-b8d4-fc70741ecc76,Reasoning Specialist,"{""highlight"": true, ""version"": ""4"", ""hint_type"": """"}",171c2793-fde1-4c14-b100-ae1d563f4a08,T1.Q1,Does the passage contain... (check all that apply):,CHECKBOX,,,nominal,"{""version"": ""4"", ""alpha_distance"": ""nominal"", ""require_one_or_more"": true, ""hint_type"": """"}",6,ec3f18f7-f1a6-42a1-860d-d6522781716a,T1.Q1.A2,An evaluative judgment (claims about something being good or bad),T1.Q3,0,1,"{""case_numbers"": false, ""highlight"": false, ""version"": ""4"", ""require_highlight"": true}"
Covid_Reasoning,9dfbf61fb64553748d371fac309ff63ef29f205810c24953012d827305f20dbf,e7c0b457-c285-4cde-b8d4-fc70741ecc76,Reasoning Specialist,"{""highlight"": true, ""version"": ""4"", ""hint_type"": """"}",171c2793-fde1-4c14-b100-ae1d563f4a08,T1.Q1,Does the passage contain... (check all that apply):,CHECKBOX,,,nominal,"{""version"": ""4"", ""alpha_distance"": ""nominal"", ""require_one_or_more"": true, ""hint_type"": """"}",6,1237866c-7089-42d1-a1e2-9f90b9d61148,T1.Q1.A3,Misleading reasoning,T1.Q6,0,1,"{""case_numbers"": false, ""highlight"": false, ""version"": ""4"", ""require_highlight"": true}"
Covid_Reasoning,9dfbf61fb64553748d371fac309ff63ef29f205810c24953012d827305f20dbf,e7c0b457-c285-4cde-b8d4-fc70741ecc76,Reasoning Specialist,"{""highlight"": true, ""version"": ""4"", ""hint_type"": """"}",171c2793-fde1-4c14-b100-ae1d563f4a08,T1.Q1,Does the passage contain... (check all that apply):,CHECKBOX,,,nominal,"{""version"": ""4"", ""alpha_distance"": ""nominal"", ""require_one_or_more"": true, ""hint_type"": """"}",6,1ffde4cd-ff4b-46bc-ba29-ea0fc1466772,T1.Q1.A4,An effective critique of a reasoning error made by someone else,,0,1,"{""case_numbers"": false, ""highlight"": false, ""version"": ""4"", ""require_highlight"": true}"
Covid_Reasoning,9dfbf61fb64553748d371fac309ff63ef29f205810c24953012d827305f20dbf,e7c0b457-c285-4cde-b8d4-fc70741ecc76,Reasoning Specialist,"{""highlight"": true, ""version"": ""4"", ""hint_type"": """"}",171c2793-fde1-4c14-b100-ae1d563f4a08,T1.Q1,Does the passage contain... (check all that apply):,CHECKBOX,,,nominal,"{""version"": ""4"", ""alpha_distance"": ""nominal"", ""require_one_or_more"": true, ""hint_type"": """"}",6,edcc4383-665f-4162-990b-7920da10beff,T1.Q1.A5,Arguments or quotes from both sides,,0,1,"{""case_numbers"": false, ""highlight"": false, ""version"": ""4"", ""require_highlight"": true}"
Covid_Reasoning,9dfbf61fb64553748d371fac309ff63ef29f205810c24953012d827305f20dbf,e7c0b457-c285-4cde-b8d4-fc70741ecc76,Reasoning Specialist,"{""highlight"": true, ""version"": ""4"", ""hint_type"": """"}",171c2793-fde1-4c14-b100-ae1d563f4a08,T1.Q1,Does the passage contain... (check all that apply):,CHECKBOX,,,nominal,"{""version"": ""4"", ""alpha_distance"": ""nominal"", ""require_one_or_more"": true, ""hint_type"": """"}",6,57582307-7dbd-45d4-a725-48d3e14c27fb,T1.Q1.A6,None of the above,,0,1,"{""case_numbers"": false, ""highlight"": false, ""version"": ""4"", ""require_highlight"": true}"
Covid_Reasoning,9dfbf61fb64553748d371fac309ff63ef29f205810c24953012d827305f20dbf,e7c0b457-c285-4cde-b8d4-fc70741ecc76,Reasoning Specialist,"{""highlight"": true, ""version"": ""4"", ""hint_type"": """"}",fc9484b7-a339-42f5-8018-cf088fc456c2,T1.Q2,Does the argument contain any of the following misleading forms of reasoning? Check all that apply.,CHECKBOX,,,nominal,"{""version"": ""4"", ""alpha_distance"": ""nominal"", ""require_one_or_more"": true, ""hint_type"": """"}",6,3ada3f62-4b63-456f-882e-28ed401fdb1a,T1.Q2.A1,Availability Heuristic,T1.Q7,1,1,"{""case_numbers"": false, ""highlight"": true, ""version"": ""4"", ""require_highlight"": true}"
Covid_Reasoning,9dfbf61fb64553748d371fac309ff63ef29f205810c24953012d827305f20dbf,e7c0b457-c285-4cde-b8d4-fc70741ecc76,Reasoning Specialist,"{""highlight"": true, ""version"": ""4"", ""hint_type"": """"}",fc9484b7-a339-42f5-8018-cf088fc456c2,T1.Q2,Does the argument contain any of the following misleading forms of reasoning? Check all that apply.,CHECKBOX,,,nominal,"{""version"": ""4"", ""alpha_distance"": ""nominal"", ""require_one_or_more"": true, ""hint_type"": """"}",6,d823f6bf-0541-4217-9efa-936b6031435d,T1.Q2.A2,Stereotyping,T1.Q7,1,1,"{""case_numbers"": false, ""highlight"": true, ""version"": ""4"", ""require_highlight"": true}"
Covid_Reasoning,9dfbf61fb64553748d371fac309ff63ef29f205810c24953012d827305f20dbf,e7c0b457-c285-4cde-b8d4-fc70741ecc76,Reasoning Specialist,"{""highlight"": true, ""version"": ""4"", ""hint_type"": """"}",fc9484b7-a339-42f5-8018-cf088fc456c2,T1.Q2,Does the argument contain any of the following misleading forms of reasoning? Check all that apply.,CHECKBOX,,,nominal,"{""version"": ""4"", ""alpha_distance"": ""nominal"", ""require_one_or_more"": true, ""hint_type"": """"}",6,9c73ae39-7534-4b95-a684-19aca8b40b59,T1.Q2.A3,Hindsight Bias,T1.Q7,1,1,"{""case_numbers"": false, ""highlight"": true, ""version"": ""4"", ""require_highlight"": true}"
Covid_Reasoning,9dfbf61fb64553748d371fac309ff63ef29f205810c24953012d827305f20dbf,e7c0b457-c285-4cde-b8d4-fc70741ecc76,Reasoning Specialist,"{""highlight"": true, ""version"": ""4"", ""hint_type"": """"}",fc9484b7-a339-42f5-8018-cf088fc456c2,T1.Q2,Does the argument contain any of the following misleading forms of reasoning? Check all that apply.,CHECKBOX,,,nominal,"{""version"": ""4"", ""alpha_distance"": ""nominal"", ""require_one_or_more"": true, ""hint_type"": """"}",6,1478c848-e4b2-4d04-bbb8-d2b33ba13a71,T1.Q2.A4,Gambler's Fallacy,T1.Q7,1,1,"{""case_numbers"": false, ""highlight"": true, ""version"": ""4"", ""require_highlight"": true}"
