namespace,schema_sha256,topic_uuid,topic_name,topic_options,question_uuid,question_label,question_text,question_type,question_hint_type,question_next_questions,alpha_distance,question_options,answer_count,answer_uuid,answer_label,answer_content,answer_next_questions,highlight,require_highlight,answer_options
Sources2021_02_23,79f11c85b3872dd09d15f006ccb5feeb1f9dd5eb0a680f87d344924bb5bb2916,03760ee8-4007-464c-b509-bb3bd4e5500d,Quote Source Relevance,"{""highlight"": true, ""version"": ""5"", ""hint_type"": """"}",0bfdfd3f-a4c0-4fae-b278-54f7f556476b,T1.Q1,Can you tell why the source/person/organization is being quoted?,RADIO,,,nominal,"{""version"": ""5"", ""alpha_distance"": ""nominal"", ""require_one_or_more"": true, ""hint_type"": """"}",3,7e9ccb21-8e3f-4847-b7f0-10179ac3c497,T1.Q1.A1,"What the source has said or written is newsworthy by itself. It is important, interesting, and/or meaningful enough to be the main idea of a news story by itself.",,0,1,"{""case_numbers"": false, ""highlight"": false, ""version"": ""5"", ""require_highlight"": true}"
Sources2021_02_23,79f11c85b3872dd09d15f006ccb5feeb1f9dd5eb0a680f87d344924bb5bb2916,03760ee8-4007-464c-b509-bb3bd4e5500d,Quote Source Relevance,"{""highlight"": true, ""version"": ""5"", ""hint_type"": """"}",0bfdfd3f-a4c0-4fae-b278-54f7f556476b,T1.Q1,Can you tell why the source/person/organization is being quoted?,RADIO,,,nominal,"{""version"": ""5"", ""alpha_distance"": ""nominal"", ""require_one_or_more"": true, ""hint_type"": """"}",3,e4b27f85-f2ee-4555-83bf-15890e9c6c78,T1.Q1.A2,"The source is offering commentary, explanation, judgment, or context about something newsworthy.",,0,1,"{""case_numbers"": false, ""highlight"": false, ""version"": ""5"", ""require_highlight"": true}"
Sources2021_02_23,79f11c85b3872dd09d15f006ccb5feeb1f9dd5eb0a680f87d344924bb5bb2916,03760ee8-4007-464c-b509-bb3bd4e5500d,Quote Source Relevance,"{""highlight"": true, ""version"": ""5"", ""hint_type"": """"}",0bfdfd3f-a4c0-4fae-b278-54f7f556476b,T1.Q1,Can you tell why the source/person/organization is being quoted?,RADIO,,,nominal,"{""version"": ""5"", ""alpha_distance"": ""nominal"", ""require_one_or_more"": true, ""hint_type"": """"}",3,3d8ce29a-e8cd-4fda-95fc-f46fee40b5ba,T1.Q1.A3,None of the above,,0,1,"{""case_numbers"": false, ""highlight"": false, ""version"": ""5"", ""require_highlight"": true}"
Sources2021_02_23,79f11c85b3872dd09d15f006ccb5feeb1f9dd5eb0a680f87d344924bb5bb2916,03760ee8-4007-464c-b509-bb3bd4e5500d,Quote Source Relevance,"{""highlight"": true, ""version"": ""5"", ""hint_type"": """"}",ffd22ffa-c495-4cb1-bd7e-91fca351c1f1,T1.Q2,Does the experience/knowledge/position of the quoted source qualify them to speak or write such claims?,RADIO,,,ordinal,"{""version"": ""5"", ""alpha_distance"": ""ordinal"", ""require_one_or_more"": true, ""hint_type"": """"}",8,04ff53a6-01ec-47c4-945f-710f32d340ac,T1.Q2.A1,"Yes, definitely",,0,1,"{""case_numbers"": false, ""highlight"": false, ""version"": ""5"", ""require_highlight"": true}"
Sources2021_02_23,79f11c85b3872dd09d15f006ccb5feeb1f9dd5eb0a680f87d344924bb5bb2916,03760ee8-4007-464c-b509-bb3bd4e5500d,Quote Source Relevance,"{""highlight"": true, ""version"": ""5"", ""hint_type"": """"}",ffd22ffa-c495-4cb1-bd7e-91fca351c1f1,T1.Q2,Does the experience/knowledge/position of the quoted source qualify them to speak or write such claims?,RADIO,,,ordinal,"{""version"": ""5"", ""alpha_distance"": ""ordinal"", ""require_one_or_more"": true, ""hint_type"": """"}",8,49ee34db-883c-41c2-8a6a-d5e5ddfb828b,T1.Q2.A2,Yes,,0,1,"{""case_numbers"": false, ""highlight"": false, ""version"": ""5"", ""require_highlight"": true}"
Sources2021_02_23,79f11c85b3872dd09d15f006ccb5feeb1f9dd5eb0a680f87d344924bb5bb2916,03760ee8-4007-464c-b509-bb3bd4e5500d,Quote Source Relevance,"{""highlight"": true, ""version"": ""5"", ""hint_type"": """"}",ffd22ffa-c495-4cb1-bd7e-91fca351c1f1,T1.Q2,Does the experience/knowledge/position of the quoted source qualify them to speak or write such claims?,RADIO,,,ordinal,"{""version"": ""5"", ""alpha_distance"": ""ordinal"", ""require_one_or_more"": true, ""hint_type"": """"}",8,acbfe0ad-7976-4cd7-b7cb-42a80ee14eb5,T1.Q2.A3,"Somewhat, yes",,0,1,"{""case_numbers"": false, ""highlight"": false, ""version"": ""5"", ""require_highlight"": true}"
Sources2021_02_23,79f11c85b3872dd09d15f006ccb5feeb1f9dd5eb0a680f87d344924bb5bb2916,03760ee8-4007-464c-b509-bb3bd4e5500d,Quote Source Relevance,"{""highlight"": true, ""version"": ""5"", ""hint_type"": """"}",ffd22ffa-c495-4cb1-bd7e-91fca351c1f1,T1.Q2,Does the experience/knowledge/position of the quoted source qualify them to speak or write such claims?,RADIO,,,ordinal,"{""version"": ""5"", ""alpha_distance"": ""ordinal"", ""require_one_or_more"": true, ""hint_type"": """"}",8,5c7b097e-b311-45c8-bec8-b770bb6a6b64,T1.Q2.A4,Barely,,0,1,"{""case_numbers"": false, ""highlight"": false, ""version"": ""5"", ""require_highlight"": true}"
Sources2021_02_23,79f11c85b3872dd09d15f006ccb5feeb1f9dd5eb0a680f87d344924bb5bb2916,03760ee8-4007-464c-b509-bb3bd4e5500d,Quote Source Relevance,"{""highlight"": true, ""version"": ""5"", ""hint_type"": """"}",ffd22ffa-c495-4cb1-bd7e-91fca351c1f1,T1.Q2,Does the experience/knowledge/position of the quoted source qualify them to speak or write such claims?,RADIO,,,ordinal,"{""version"": ""5"", ""alpha_distance"": ""ordinal"", ""require_one_or_more"": true, ""hint_type"": """"}",8,3ca01486-5b5f-4e5e-8cc7-c1eedc5c459f,T1.Q2.A5,There's no way to know based on the information given,,0,1,"{""case_numbers"": false, ""highlight"": false, ""version"": ""5"", ""require_highlight"": true}"
Sources2021_02_23,79f11c85b3872dd09d15f006ccb5feeb1f9dd5eb0a680f87d344924bb5bb2916,03760ee8-4007-464c-b509-bb3bd4e5500d,Quote Source Relevance,"{""highlight"": true, ""version"": ""5"", ""hint_type"": """"}",ffd22ffa-c495-4cb1-bd7e-91fca351c1f1,T1.Q2,Does the experience/knowledge/position of the quoted source qualify them to speak or write such claims?,RADIO,,,ordinal,"{""version"": ""5"", ""alpha_distance"": ""ordinal"", ""require_one_or_more"": true, ""hint_type"": """"}",8,21cb52c5-44a6-4470-9c79-d0b45064edb6,T1.Q2.A6,Not really,,0,1,"{""case_numbers"": false, ""highlight"": false, ""version"": ""5"", ""require_highlight"": true}"
Sources2021_02_23,79f11c85b3872dd09d15f006ccb5feeb1f9dd5eb0a680f87d344924bb5bb2916,03760ee8-4007-464c-b509-bb3bd4e5500d,Quote Source Relevance,"{""highlight"": true, ""version"": ""5"", ""hint_type"": """"}",ffd22ffa-c495-4cb1-bd7e-91fca351c1f1,T1.Q2,Does the experience/knowledge/position of the quoted source qualify them to speak or write such claims?,RADIO,,,ordinal,"{""version"": ""5"", ""alpha_distance"": ""ordinal"", ""require_one_or_more"": true, ""hint_type"": """"}",8,d44a57a7-0be0-4310-bb86-9f79ad8699f6,T1.Q2.A7,Not at all,,0,1,"{""case_numbers"": false, ""highlight"": false, ""version"": ""5"", ""require_highlight"": true}"
