namespace,schema_sha256,topic_uuid,topic_name,topic_options,question_uuid,question_label,question_text,question_type,question_hint_type,question_next_questions,alpha_distance,question_options,answer_count,answer_uuid,answer_label,answer_content,answer_next_questions,highlight,require_highlight,answer_options
Evidence2021_05_19,decee73456321223a34e6ac825b333d8da3e1d2c138823b76ac7b11fbe76af4c,d6ef680d-6503-447a-ac9b-212987ccc8e2,Evidence Specialist,"{""highlight"": true, ""version"": ""5"", ""hint_type"": """"}",4baa2151-e916-4491-81d9-d8f7e6ef9812,T1.Q0,"Read the text immediately surrounding the bolded text, and identify the claim or argument that the bold text is supporting. (Drag the context slider, under the text display pane, to the right for more context.) Did you find the argument or claim the evidence in bold font is meant to support?",RADIO,,,nominal,"{""version"": ""5"", ""alpha_distance"": ""nominal"", ""require_one_or_more"": true, ""hint_type"": """"}",2,c1ef4810-41bb-4c8a-bf04-a45c169dddbf,T1.Q0.A1,Yes,,1,1,"{""case_numbers"": false, ""highlight"": true, ""version"": ""5"", ""require_highlight"": true}"
Evidence2021_05_19,decee73456321223a34e6ac825b333d8da3e1d2c138823b76ac7b11fbe76af4c,d6ef680d-6503-447a-ac9b-212987ccc8e2,Evidence Specialist,"{""highlight"": true, ""version"": ""5"", ""hint_type"": """"}",4baa2151-e916-4491-81d9-d8f7e6ef9812,T1.Q0,"Read the text immediately surrounding the bolded text, and identify the claim or argument that the bold text is supporting. (Drag the context slider, under the text display pane, to the right for more context.) Did you find the argument or claim the evidence in bold font is meant to support?",RADIO,,,nominal,"{""version"": ""5"", ""alpha_distance"": ""nominal"", ""require_one_or_more"": true, ""hint_type"": """"}",2,14903529-5514-4de7-b884-c81a6d0f48d1,T1.Q0.A2,Maybe,,1,1,"{""case_numbers"": false, ""highlight"": true, ""version"": ""5"", ""require_highlight"": true}"
Evidence2021_05_19,decee73456321223a34e6ac825b333d8da3e1d2c138823b76ac7b11fbe76af4c,d6ef680d-6503-447a-ac9b-212987ccc8e2,Evidence Specialist,"{""highlight"": true, ""version"": ""5"", ""hint_type"": """"}",aa850fef-c861-4c00-bb87-d82ff12eed0a,T1.Q1,"Does the bold font present evidence for a pattern, or some relationship between two (or more) variables (i.e. entities, characteristics, occurrences, etc.)",RADIO,,,ordinal,"{""version"": ""5"", ""alpha_distance"": ""ordinal"", ""require_one_or_more"": true, ""hint_type"": """"}",3,22f66450-1c56-4ac7-93fa-f42d8ee26261,T1.Q1.A1,Yes,"T1.Q2, T1.Q5, T1.Q6",0,1,"{""case_numbers"": false, ""highlight"": false, ""version"": ""5"", ""require_highlight"": true}"
Evidence2021_05_19,decee73456321223a34e6ac825b333d8da3e1d2c138823b76ac7b11fbe76af4c,d6ef680d-6503-447a-ac9b-212987ccc8e2,Evidence Specialist,"{""highlight"": true, ""version"": ""5"", ""hint_type"": """"}",aa850fef-c861-4c00-bb87-d82ff12eed0a,T1.Q1,"Does the bold font present evidence for a pattern, or some relationship between two (or more) variables (i.e. entities, characteristics, occurrences, etc.)",RADIO,,,ordinal,"{""version"": ""5"", ""alpha_distance"": ""ordinal"", ""require_one_or_more"": true, ""hint_type"": """"}",3,914934b9-7a49-427c-b498-0076ae3379ef,T1.Q1.A2,Maybe,"T1.Q2, T1.Q5",0,1,"{""case_numbers"": false, ""highlight"": false, ""version"": ""5"", ""require_highlight"": true}"
Evidence2021_05_19,decee73456321223a34e6ac825b333d8da3e1d2c138823b76ac7b11fbe76af4c,d6ef680d-6503-447a-ac9b-212987ccc8e2,Evidence Specialist,"{""highlight"": true, ""version"": ""5"", ""hint_type"": """"}",aa850fef-c861-4c00-bb87-d82ff12eed0a,T1.Q1,"Does the bold font present evidence for a pattern, or some relationship between two (or more) variables (i.e. entities, characteristics, occurrences, etc.)",RADIO,,,ordinal,"{""version"": ""5"", ""alpha_distance"": ""ordinal"", ""require_one_or_more"": true, ""hint_type"": """"}",3,8f194965-f7c0-493d-bdf2-9a8d2b0adbfd,T1.Q1.A3,No,,0,1,"{""case_numbers"": false, ""highlight"": false, ""version"": ""5"", ""require_highlight"": true}"
Evidence2021_05_19,decee73456321223a34e6ac825b333d8da3e1d2c138823b76ac7b11fbe76af4c,d6ef680d-6503-447a-ac9b-212987ccc8e2,Evidence Specialist,"{""highlight"": true, ""version"": ""5"", ""hint_type"": """"}",6a598636-01b5-47aa-b590-6e86e418cd5f,T1.Q2,Is the evidence for the pattern or relationship driven by data (i.e. numbers) as opposed to simply a story or anecdote?,RADIO,,,ordinal,"{""version"": ""5"", ""alpha_distance"": ""ordinal"", ""require_one_or_more"": true, ""hint_type"": """"}",4,a683b8aa-e7c2-4420-bab5-92913fa59f35,T1.Q2.A1,Yes,"T1.Q6, T1.Q3",1,1,"{""case_numbers"": false, ""highlight"": true, ""version"": ""5"", ""require_highlight"": true}"
Evidence2021_05_19,decee73456321223a34e6ac825b333d8da3e1d2c138823b76ac7b11fbe76af4c,d6ef680d-6503-447a-ac9b-212987ccc8e2,Evidence Specialist,"{""highlight"": true, ""version"": ""5"", ""hint_type"": """"}",6a598636-01b5-47aa-b590-6e86e418cd5f,T1.Q2,Is the evidence for the pattern or relationship driven by data (i.e. numbers) as opposed to simply a story or anecdote?,RADIO,,,ordinal,"{""version"": ""5"", ""alpha_distance"": ""ordinal"", ""require_one_or_more"": true, ""hint_type"": """"}",4,61da8186-4add-4514-8648-3e4225be9489,T1.Q2.A2,Maybe,T1.Q3,1,1,"{""case_numbers"": false, ""highlight"": true, ""version"": ""5"", ""require_highlight"": true}"
Evidence2021_05_19,decee73456321223a34e6ac825b333d8da3e1d2c138823b76ac7b11fbe76af4c,d6ef680d-6503-447a-ac9b-212987ccc8e2,Evidence Specialist,"{""highlight"": true, ""version"": ""5"", ""hint_type"": """"}",6a598636-01b5-47aa-b590-6e86e418cd5f,T1.Q2,Is the evidence for the pattern or relationship driven by data (i.e. numbers) as opposed to simply a story or anecdote?,RADIO,,,ordinal,"{""version"": ""5"", ""alpha_distance"": ""ordinal"", ""require_one_or_more"": true, ""hint_type"": """"}",4,a21729b2-b3c4-4e70-8a9b-22699989e047,T1.Q2.A3,I'm not sure,,1,1,"{""case_numbers"": false, ""highlight"": true, ""version"": ""5"", ""require_highlight"": true}"
Evidence2021_05_19,decee73456321223a34e6ac825b333d8da3e1d2c138823b76ac7b11fbe76af4c,d6ef680d-6503-447a-ac9b-212987ccc8e2,Evidence Specialist,"{""highlight"": true, ""version"": ""5"", ""hint_type"": """"}",6a598636-01b5-47aa-b590-6e86e418cd5f,T1.Q2,Is the evidence for the pattern or relationship driven by data (i.e. numbers) as opposed to simply a story or anecdote?,RADIO,,,ordinal,"{""version"": ""5"", ""alpha_distance"": ""ordinal"", ""require_one_or_more"": true, ""hint_type"": """"}",4,c7accbe3-f09d-4913-9dc4-129d281a2679,T1.Q2.A4,"No, it's just a story or anecdote relating two or more entities, characteristics, occurrences, etc.",,0,1,"{""case_numbers"": false, ""highlight"": false, ""version"": ""5"", ""require_highlight"": true}"
Evidence2021_05_19,decee73456321223a34e6ac825b333d8da3e1d2c138823b76ac7b11fbe76af4c,d6ef680d-6503-447a-ac9b-212987ccc8e2,Evidence Specialist,"{""highlight"": true, ""version"": ""5"", ""hint_type"": """"}",9490761d-aebd-48eb-b7e2-8d4912a1f3e9,T1.Q3,"Were the data created by observing some sample group meant to represent some larger population? (For example: ""Scientists measured the tail pipe emissions on the 10 most popular American vehicles of each decade to understand the effects of automobile pollution across America."" See hint for more examples.)",RADIO,,,ordinal,"{""version"": ""5"", ""alpha_distance"": ""ordinal"", ""require_one_or_more"": true, ""hint_type"": """"}",5,2332e2a7-7d84-4144-82b8-a144023c5e9b,T1.Q3.A1,Yes,T1.Q4,1,1,"{""case_numbers"": false, ""highlight"": true, ""version"": ""5"", ""require_highlight"": true}"
